name,stargazerCount,owner.login,pullRequests.totalCount,url
every-programmer-should-know,86857,mtdvio,146,https://github.com/mtdvio/every-programmer-should-know
rustdesk,86679,rustdesk,4023,https://github.com/rustdesk/rustdesk
storybook,86347,storybookjs,13508,https://github.com/storybookjs/storybook
ui,85203,shadcn-ui,1290,https://github.com/shadcn-ui/ui
nvm,83906,nvm-sh,1070,https://github.com/nvm-sh/nvm
fastapi,83189,fastapi,4150,https://github.com/fastapi/fastapi
django,83128,django,19001,https://github.com/django/django
app-ideas,82882,florinpop17,351,https://github.com/florinpop17/app-ideas
bitcoin,82866,bitcoin,21921,https://github.com/bitcoin/bitcoin
NextChat,82687,ChatGPTNextWeb,2431,https://github.com/ChatGPTNextWeb/NextChat
svelte,82214,sveltejs,6829,https://github.com/sveltejs/svelte
awesome-mac,81913,jaywcjlove,1073,https://github.com/jaywcjlove/awesome-mac
gin,81691,gin-gonic,1667,https://github.com/gin-gonic/gin
opencv,81646,opencv,15804,https://github.com/opencv/opencv
animate.css,81558,animate-css,890,https://github.com/animate-css/animate.css
realworld,81432,gothinkster,855,https://github.com/gothinkster/realworld
supabase,80823,supabase,13628,https://github.com/supabase/supabase
laravel,80560,laravel,4934,https://github.com/laravel/laravel
mall,79863,macrozheng,124,https://github.com/macrozheng/mall
whisper,79840,openai,203,https://github.com/openai/whisper
n8n,79471,n8n-io,11112,https://github.com/n8n-io/n8n
hugo,79417,gohugoio,5702,https://github.com/gohugoio/hugo
FiraCode,78690,tonsky,192,https://github.com/tonsky/FiraCode
generative-ai-for-beginners,78184,microsoft,444,https://github.com/microsoft/generative-ai-for-beginners
core,78042,home-assistant,82421,https://github.com/home-assistant/core
llama.cpp,78014,ggml-org,5375,https://github.com/ggml-org/llama.cpp
mermaid,78009,mermaid-js,2724,https://github.com/mermaid-js/mermaid
v2rayN,78007,2dust,419,https://github.com/2dust/v2rayN
models,77484,tensorflow,3666,https://github.com/tensorflow/models
bun,77446,oven-sh,6266,https://github.com/oven-sh/bun
advanced-java,77422,doocs,131,https://github.com/doocs/advanced-java
spring-boot,76792,spring-projects,6810,https://github.com/spring-projects/spring-boot
manim,76723,3b1b,859,https://github.com/3b1b/manim
LeetCodeAnimation,75822,MisterBooo,75,https://github.com/MisterBooo/LeetCodeAnimation
Font-Awesome,74922,FortAwesome,677,https://github.com/FortAwesome/Font-Awesome
awesome-interview-questions,74305,DopplerHQ,210,https://github.com/DopplerHQ/awesome-interview-questions
netdata,74065,netdata,11454,https://github.com/netdata/netdata
ComfyUI,74031,comfyanonymous,1267,https://github.com/comfyanonymous/ComfyUI
json-server,74002,typicode,320,https://github.com/typicode/json-server
devops-exercises,73397,bregman-arie,389,https://github.com/bregman-arie/devops-exercises
awesome-for-beginners,73119,MunGell,1388,https://github.com/MunGell/awesome-for-beginners
gpt4all,73078,nomic-ai,1151,https://github.com/nomic-ai/gpt4all
awesome-vue,72775,vuejs,3934,https://github.com/vuejs/awesome-vue
github-readme-stats,72489,anuraghazra,2288,https://github.com/anuraghazra/github-readme-stats
funNLP,72375,fighting41love,23,https://github.com/fighting41love/funNLP
elasticsearch,72326,elastic,86461,https://github.com/elastic/elasticsearch
vite,72050,vitejs,6733,https://github.com/vitejs/vite
ML-For-Beginners,71809,microsoft,521,https://github.com/microsoft/ML-For-Beginners
system-design-101,71628,ByteByteGoHq,31,https://github.com/ByteByteGoHq/system-design-101
playwright,71592,microsoft,16381,https://github.com/microsoft/playwright
hoppscotch,71077,hoppscotch,2607,https://github.com/hoppscotch/hoppscotch
code-server,70813,coder,1958,https://github.com/coder/code-server
nest,70401,nestjs,8978,https://github.com/nestjs/nest
stable-diffusion,70318,CompVis,77,https://github.com/CompVis/stable-diffusion
HowToCook,70277,Anduin2017,701,https://github.com/Anduin2017/HowToCook
Front-End-Checklist,69842,thedaviddias,307,https://github.com/thedaviddias/Front-End-Checklist
moby,69539,moby,25809,https://github.com/moby/moby
screenshot-to-code,69508,abi,93,https://github.com/abi/screenshot-to-code
fzf,69361,junegunn,957,https://github.com/junegunn/fzf
syncthing,69356,syncthing,4359,https://github.com/syncthing/syncthing
flask,69288,pallets,2636,https://github.com/pallets/flask
reveal.js,68687,hakimel,1022,https://github.com/hakimel/reveal.js
redis,68659,redis,6425,https://github.com/redis/redis
node,68518,base,199,https://github.com/base/node
cs-video-courses,68477,Developer-Y,252,https://github.com/Developer-Y/cs-video-courses
swift,68433,swiftlang,59667,https://github.com/swiftlang/swift
d2l-zh,68369,d2l-ai,1260,https://github.com/d2l-ai/d2l-zh
gpt_academic,68167,binary-husky,328,https://github.com/binary-husky/gpt_academic
awesome-react,67612,enaqx,1302,https://github.com/enaqx/awesome-react
awesome-machine-learning,67559,josephmisiti,923,https://github.com/josephmisiti/awesome-machine-learning
grafana,67468,grafana,61055,https://github.com/grafana/grafana
protobuf,67251,protocolbuffers,14410,https://github.com/protocolbuffers/protobuf
uptime-kuma,67075,louislam,1629,https://github.com/louislam/uptime-kuma
express,66721,expressjs,1820,https://github.com/expressjs/express
Best-websites-a-programmer-should-visit,66565,sdmg15,954,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
cpython,66273,python,58016,https://github.com/python/cpython
strapi,66082,strapi,11252,https://github.com/strapi/strapi
tesseract,66073,tesseract-ocr,1627,https://github.com/tesseract-ocr/tesseract
Ventoy,66020,ventoy,429,https://github.com/ventoy/Ventoy
Chart.js,65691,chartjs,3828,https://github.com/chartjs/Chart.js
superset,65655,apache,17920,https://github.com/apache/superset
webpack,65190,webpack,7197,https://github.com/webpack/webpack
33-js-concepts,65015,leonardomso,397,https://github.com/leonardomso/33-js-concepts
ansible,64704,ansible,51534,https://github.com/ansible/ansible
PayloadsAllTheThings,64590,swisskyrepo,673,https://github.com/swisskyrepo/PayloadsAllTheThings
imgui,64578,ocornut,1346,https://github.com/ocornut/imgui
interviews,64070,kdn251,93,https://github.com/kdn251/interviews
gpt4free,64018,xtekky,954,https://github.com/xtekky/gpt4free
javascript-questions,63749,lydiahallie,516,https://github.com/lydiahallie/javascript-questions
sherlock,63593,sherlock-project,1066,https://github.com/sherlock-project/sherlock
obs-studio,63468,obsproject,6858,https://github.com/obsproject/obs-studio
immich,63440,immich-app,6851,https://github.com/immich-app/immich
caddy,63313,caddyserver,2496,https://github.com/caddyserver/caddy
echarts,63152,apache,1823,https://github.com/apache/echarts
the-algorithm,63078,twitter,352,https://github.com/twitter/the-algorithm
tabby,62994,Eugeny,3939,https://github.com/Eugeny/tabby
awesome-cpp,62972,fffaraz,969,https://github.com/fffaraz/awesome-cpp
keras,62862,keras-team,7919,https://github.com/keras-team/keras
awesome-public-datasets,62796,awesomedata,289,https://github.com/awesomedata/awesome-public-datasets
openai-cookbook,62767,openai,1004,https://github.com/openai/openai-cookbook
nocode,62509,kelseyhightower,173,https://github.com/kelseyhightower/nocode
resume.github.com,62364,resume,173,https://github.com/resume/resume.github.com
sway,62358,FuelLabs,3778,https://github.com/FuelLabs/sway
SecLists,62053,danielmiessler,844,https://github.com/danielmiessler/SecLists
AppFlowy,62050,AppFlowy-IO,4109,https://github.com/AppFlowy-IO/AppFlowy
cs-self-learning,62009,PKUFlyingPig,321,https://github.com/PKUFlyingPig/cs-self-learning
socket.io,61900,socketio,866,https://github.com/socketio/socket.io
scikit-learn,61714,scikit-learn,18044,https://github.com/scikit-learn/scikit-learn
Apollo-11,61604,chrislgarry,463,https://github.com/chrislgarry/Apollo-11
awesome-scalability,61416,binhnguyennus,78,https://github.com/binhnguyennus/awesome-scalability
Java,61316,TheAlgorithms,4842,https://github.com/TheAlgorithms/Java
redux,61143,reduxjs,2572,https://github.com/reduxjs/redux
