name,stargazerCount,owner,createdAt,updatedAt,language,openPullRequests,mergedPullRequests,releases,openIssues,closedIssues
rustlings,56465,rust-lang,2015-09-15T02:25:18Z,2025-02-20T22:02:13Z,Rust,17,904,45,34,667
nerd-fonts,56432,ryanoasis,2014-12-05T04:31:17Z,2025-02-20T21:15:53Z,Python,2,520,37,15,1017
nuxt,56175,nuxt,2016-10-26T11:18:47Z,2025-02-20T22:28:25Z,JavaScript,64,6144,234,859,15024
lobe-chat,55868,lobehub,2023-05-21T07:19:12Z,2025-02-20T22:27:01Z,JavaScript,51,1788,1000,517,2620
gatsby,55735,gatsbyjs,2015-05-21T22:43:05Z,2025-02-20T22:05:33Z,JavaScript,202,18147,149,206,13881
DeepLearning-500-questions,55411,scutan90,2018-06-27T06:36:45Z,2025-02-20T16:05:11Z,JavaScript,10,302,0,110,81
private-gpt,55267,zylon-ai,2023-05-02T09:15:31Z,2025-02-20T20:55:44Z,Python,22,226,10,240,961
leetcode,55041,azl397985856,2018-03-30T09:13:51Z,2025-02-20T16:57:21Z,JavaScript,2,257,40,9,248
you-get,54980,soimort,2012-08-20T15:53:36Z,2025-02-20T22:15:18Z,Makefile,119,582,123,0,0
awesome-flutter,54831,Solido,2017-05-07T11:45:27Z,2025-02-20T19:48:58Z,Dart,21,444,0,0,0
zed,54551,zed-industries,2021-02-20T03:01:06Z,2025-02-20T22:12:19Z,Rust,94,10905,726,2856,8065
awesome-chatgpt-prompts-zh,54272,PlexPt,2022-12-12T01:55:03Z,2025-02-20T22:01:46Z,Unknown,3,33,0,38,58
scrapy,54242,scrapy,2010-02-22T02:01:14Z,2025-02-20T22:43:34Z,Shell,183,2253,39,437,2651
element,54185,ElemeFE,2016-09-03T06:19:26Z,2025-02-20T20:26:31Z,Makefile,323,3231,145,2558,15250
face_recognition,54166,ageitgey,2017-03-03T21:52:39Z,2025-02-20T22:06:57Z,Makefile,38,94,2,758,594
react-router,54088,remix-run,2014-05-16T22:22:51Z,2025-02-20T21:55:24Z,JavaScript,64,2734,293,199,7619
ghidra,54022,NationalSecurityAgency,2019-03-01T03:27:48Z,2025-02-20T22:41:18Z,Java,269,496,42,1436,3736
leetcode-master,54005,youngyangyang04,2019-12-14T12:05:42Z,2025-02-20T17:45:11Z,Shell,27,2290,0,185,64
tldr,53673,tldr-pages,2013-12-08T07:34:43Z,2025-02-20T22:02:21Z,Shell,25,12911,5,180,1235
ChatGPT,53623,lencx,2022-12-07T09:43:02Z,2025-02-20T20:34:07Z,Rust,24,123,34,779,350
git,53585,git,2008-07-23T14:21:26Z,2025-02-20T20:21:40Z,Makefile,200,3,0,0,0
Real-Time-Voice-Cloning,53556,CorentinJ,2019-05-26T08:56:15Z,2025-02-20T21:34:28Z,Python,21,48,0,198,890
Prompt-Engineering-Guide,53499,dair-ai,2022-12-16T16:04:50Z,2025-02-20T22:42:17Z,Jupyter Notebook,47,302,0,137,70
traefik,53326,traefik,2015-09-13T19:04:02Z,2025-02-20T21:33:14Z,Go,36,4490,459,616,5536
faceswap,53301,deepfakes,2017-12-19T09:44:13Z,2025-02-20T21:38:58Z,Python,7,357,4,29,844
gpt-engineer,53136,AntonOsika,2023-04-29T12:52:15Z,2025-02-20T16:00:40Z,Python,14,351,20,19,469
normalize.css,52795,necolas,2011-05-04T10:20:25Z,2025-02-20T20:03:36Z,CSS,31,56,0,51,461
openpilot,52583,commaai,2016-11-24T01:33:30Z,2025-02-20T22:15:43Z,C,27,10862,55,107,2770
drawio-desktop,52567,jgraph,2017-05-25T20:58:42Z,2025-02-20T22:34:14Z,JavaScript,0,20,149,81,1446
weekly,52561,ruanyf,2018-10-13T12:36:07Z,2025-02-20T21:37:01Z,Unknown,0,93,0,4928,933
requests,52530,psf,2011-02-13T18:38:17Z,2025-02-20T18:43:27Z,Makefile,81,1567,12,188,3820
yolov5,52461,ultralytics,2020-05-18T03:45:11Z,2025-02-20T17:29:27Z,Dockerfile,25,2178,10,200,9159
mkcert,52347,FiloSottile,2018-06-25T05:33:03Z,2025-02-20T21:18:47Z,Go,49,52,14,101,239
nocodb,52105,nocodb,2017-10-29T18:51:48Z,2025-02-20T22:27:39Z,JavaScript,65,4380,162,689,3103
hackingtool,51630,Z4nzu,2020-04-11T09:21:31Z,2025-02-20T20:47:25Z,Shell,11,55,0,46,318
awesome-android-ui,51579,wasabeef,2014-12-24T01:45:03Z,2025-02-20T22:27:10Z,Unknown,17,90,0,16,93
ionic-framework,51463,ionic-team,2013-08-20T23:06:02Z,2025-02-20T15:17:33Z,JavaScript,36,6041,889,532,21373
Stirling-PDF,51325,Stirling-Tools,2023-01-27T18:22:42Z,2025-02-20T22:42:37Z,Dockerfile,19,1468,112,199,904
bat,51197,sharkdp,2018-04-21T10:52:23Z,2025-02-20T22:38:00Z,Rust,42,1387,41,296,1153
Semantic-UI,51148,Semantic-Org,2013-04-08T23:32:04Z,2025-02-20T22:44:18Z,HTML,110,357,154,967,5266
material-design-icons,51128,google,2014-10-08T18:01:28Z,2025-02-20T21:30:53Z,Unknown,3,48,16,338,1145
project-layout,51085,golang-standards,2017-09-09T16:33:26Z,2025-02-20T22:41:22Z,Makefile,23,91,0,66,44
Magisk,51011,topjohnwu,2016-09-08T12:42:53Z,2025-02-20T20:57:03Z,Makefile,5,1532,143,32,5998
anime,50908,juliangarnier,2016-03-13T21:37:45Z,2025-02-20T18:46:28Z,JavaScript,23,72,15,211,509
rich,50823,Textualize,2019-11-10T15:28:09Z,2025-02-20T21:31:19Z,Python,62,806,168,195,1168
guava,50535,google,2014-05-29T16:23:17Z,2025-02-20T19:41:33Z,Java,89,823,48,631,2969
ripgrep,50423,BurntSushi,2016-03-11T02:02:33Z,2025-02-20T22:19:23Z,Rust,44,510,72,117,1543
pi-hole,50422,pi-hole,2014-06-08T15:02:55Z,2025-02-20T22:29:55Z,Shell,3,1972,109,42,2864
zustand,50366,pmndrs,2019-04-09T09:10:06Z,2025-02-20T22:30:32Z,JavaScript,4,743,92,3,683
minio,50286,minio,2015-01-14T19:23:58Z,2025-02-20T20:49:29Z,Go,10,9753,510,23,7595
grok-1,50054,xai-org,2024-03-17T08:53:38Z,2025-02-20T22:43:39Z,Python,32,5,0,80,140
kotlin,50039,JetBrains,2012-02-13T17:29:58Z,2025-02-20T22:45:06Z,Kotlin,173,2063,248,0,0
prettier,49983,prettier,2016-11-29T17:13:37Z,2025-02-20T21:14:06Z,JavaScript,269,8463,122,1188,5598
uBlock,49804,gorhill,2015-04-01T17:51:11Z,2025-02-20T22:35:10Z,HTML,2,247,273,12,3433
pdf.js,49779,mozilla,2011-04-26T06:32:03Z,2025-02-20T22:11:54Z,JavaScript,32,7768,70,385,9695
Docker-OSX,49747,sickcodes,2020-06-04T11:01:37Z,2025-02-20T20:55:52Z,Dockerfile,17,105,0,370,275
jekyll,49629,jekyll,2008-10-20T06:29:03Z,2025-02-20T22:05:27Z,Ruby,96,3178,112,106,4765
github-cheat-sheet,49621,tiimgreen,2014-04-12T16:38:42Z,2025-02-20T22:27:44Z,Unknown,17,129,0,22,48
bulma,49584,jgthms,2016-01-23T23:48:34Z,2025-02-20T18:14:51Z,Shell,179,638,21,312,2379
dive,49564,wagoodman,2018-05-13T15:44:01Z,2025-02-20T21:42:40Z,Go,39,141,26,171,166
meilisearch,49329,meilisearch,2018-04-23T11:45:28Z,2025-02-20T22:15:58Z,Rust,27,1927,240,184,1950
astro,49247,withastro,2021-03-15T17:19:47Z,2025-02-20T22:15:14Z,JavaScript,38,6827,1000,143,5037
DefinitelyTyped,49236,DefinitelyTyped,2012-10-05T16:39:45Z,2025-02-20T21:34:35Z,TypeScript,163,51013,1,564,7514
segment-anything,48940,facebookresearch,2023-03-23T17:03:03Z,2025-02-20T15:26:10Z,Python,54,16,0,514,172
rclone,48913,rclone,2014-03-16T16:19:57Z,2025-02-20T22:12:30Z,Makefile,151,2010,108,938,4679
core,48864,vuejs,2018-06-12T13:49:36Z,2025-02-20T21:47:42Z,JavaScript,345,2959,238,648,4876
awesome-rust,48771,rust-unofficial,2014-07-17T10:45:10Z,2025-02-20T22:32:16Z,Rust,0,1478,0,10,126
langflow,48759,langflow-ai,2023-02-08T22:28:03Z,2025-02-20T22:41:03Z,HTML,441,3363,249,303,1666
trackerslist,48727,ngosang,2016-04-24T11:57:57Z,2025-02-20T20:26:17Z,Unknown,0,1,0,7,456
chinese-poetry,48711,chinese-poetry,2016-09-02T03:32:25Z,2025-02-20T18:13:24Z,Python,8,135,1,114,91
marktext,48586,marktext,2017-11-12T16:05:25Z,2025-02-20T22:36:12Z,JavaScript,45,939,36,1208,1629
Ghost,48450,TryGhost,2013-05-04T11:09:13Z,2025-02-20T21:25:29Z,JavaScript,138,12272,844,45,6952
etcd,48443,etcd-io,2013-07-06T21:57:21Z,2025-02-20T20:29:43Z,Shell,134,9188,243,286,6507
go-ethereum,48416,ethereum,2013-12-26T13:05:46Z,2025-02-20T21:21:09Z,Go,103,7773,207,191,8046
awesome-ios,48246,vsouza,2014-07-10T16:03:45Z,2025-02-20T22:42:27Z,Swift,2,2233,0,0,485
cypress,48242,cypress-io,2015-03-04T00:46:28Z,2025-02-20T22:33:45Z,JavaScript,26,6629,358,1390,13393
moment,48071,moment,2011-03-01T02:46:06Z,2025-02-20T16:11:30Z,JavaScript,42,714,0,232,3905
RxJava,48022,ReactiveX,2013-01-08T20:11:48Z,2025-02-20T09:00:26Z,Shell,1,3292,235,11,3156
hacker-scripts,47980,NARKOZ,2015-11-21T19:05:09Z,2025-02-20T15:23:45Z,Ruby,33,63,0,35,52
powerlevel10k,47974,romkatv,2019-02-24T19:09:45Z,2025-02-20T20:59:22Z,Shell,12,167,33,82,2446
FFmpeg,47907,FFmpeg,2011-04-14T14:12:38Z,2025-02-20T21:35:32Z,C,1,16,0,0,0
clash-verge-rev,47868,clash-verge-rev,2023-11-21T18:24:03Z,2025-02-20T18:10:29Z,Shell,1,134,42,177,2229
joplin,47779,laurent22,2017-01-16T21:49:41Z,2025-02-20T20:58:09Z,Batchfile,17,3830,369,478,6338
mastodon,47776,mastodon,2016-02-22T15:01:25Z,2025-02-20T21:11:15Z,Ruby,171,16583,262,3893,7902
dayjs,47462,iamkun,2018-04-10T09:26:44Z,2025-02-20T21:43:30Z,JavaScript,202,695,119,875,840
hiring-without-whiteboards,47441,poteto,2017-03-15T05:09:01Z,2025-02-20T22:19:36Z,JavaScript,9,1297,0,0,0
professional-programming,47328,charlax,2015-11-07T05:07:52Z,2025-02-20T17:40:10Z,Python,1,38,0,0,28
appwrite,47293,appwrite,2019-04-08T16:36:25Z,2025-02-20T22:14:17Z,Dockerfile,169,3322,104,580,3256
gitea,47203,go-gitea,2016-11-01T02:13:26Z,2025-02-20T20:50:34Z,Makefile,212,16974,205,2542,11622
OpenHands,47163,All-Hands-AI,2024-03-13T03:33:31Z,2025-02-20T22:45:13Z,HTML,67,3423,42,244,2006
algorithm-visualizer,47146,algorithm-visualizer,2016-05-15T00:27:45Z,2025-02-20T20:24:23Z,JavaScript,28,183,0,39,75
ImHex,47145,WerWolv,2020-11-10T14:27:00Z,2025-02-20T22:13:57Z,CMake,10,594,76,205,1070
starship,47113,starship,2019-04-02T03:23:12Z,2025-02-20T22:44:46Z,Rust,172,2784,134,658,1722
big-list-of-naughty-strings,46969,minimaxir,2015-08-08T20:57:20Z,2025-02-20T18:15:45Z,Python,37,90,0,69,32
first-contributions,46931,firstcontributions,2016-09-20T14:35:09Z,2025-02-20T22:18:57Z,Unknown,22,79637,0,28,828
MetaGPT,46780,geekan,2023-06-30T09:04:55Z,2025-02-20T22:32:00Z,Python,33,646,21,51,715
awesome-wechat-weapp,46748,justjavac,2016-09-22T20:04:48Z,2025-02-20T14:13:18Z,Unknown,0,277,0,0,0
llm-course,46747,mlabonne,2023-06-17T22:16:25Z,2025-02-20T22:19:50Z,Jupyter Notebook,13,1,0,47,27
Motrix,46711,agalwood,2018-12-18T11:45:05Z,2025-02-20T18:36:54Z,JavaScript,14,192,21,736,589
serverless,46591,serverless,2015-04-21T03:48:40Z,2025-02-20T21:37:49Z,JavaScript,105,4721,431,1128,5319
PaddleOCR,46574,PaddlePaddle,2020-05-08T10:38:16Z,2025-02-20T22:07:02Z,Python,62,2596,16,26,9416
PowerShell,46486,PowerShell,2016-01-13T23:41:35Z,2025-02-20T21:29:57Z,C#,139,7282,180,985,11703
alist,46478,AlistGo,2020-12-23T17:40:29Z,2025-02-20T22:28:59Z,Go,30,778,124,357,3612
julia,46440,JuliaLang,2011-04-21T07:01:50Z,2025-02-20T22:34:31Z,Shell,993,24923,171,3995,20708
100-Days-Of-ML-Code,46432,Avik-Jain,2018-07-05T09:11:43Z,2025-02-20T22:35:09Z,Unknown,32,6,0,0,0
okhttp,46154,square,2012-07-23T13:42:55Z,2025-02-20T20:19:02Z,Shell,19,3517,0,144,3969
design-patterns-for-humans,45972,kamranahmedse,2017-02-16T21:24:39Z,2025-02-20T21:53:16Z,Unknown,11,50,0,5,47
react,45944,typescript-cheatsheets,2018-06-02T04:08:16Z,2025-02-20T21:22:04Z,JavaScript,0,370,0,4,212
learn-regex,45892,ziishaned,2017-07-22T12:21:03Z,2025-02-20T22:43:44Z,Unknown,20,124,0,51,35
AFFiNE,45835,toeverything,2022-07-31T18:45:21Z,2025-02-20T22:03:21Z,JavaScript,46,6381,418,338,2097
Projects,45791,karan,2013-07-04T13:37:27Z,2025-02-20T22:29:05Z,Unknown,47,19,0,41,33
v2ray-core,45769,v2ray,2015-09-04T11:42:53Z,2025-02-20T09:53:34Z,Go,2,203,247,7,2576
gogs,45501,gogs,2014-02-12T01:57:08Z,2025-02-20T22:18:39Z,Go,39,1739,82,901,4214
x64dbg,45450,x64dbg,2015-04-11T20:48:23Z,2025-02-20T21:01:29Z,C++,5,698,2,622,1918
huginn,44962,huginn,2013-03-10T06:00:31Z,2025-02-20T20:18:57Z,Shell,92,1041,1,586,1568
architecture-samples,44778,android,2016-02-05T13:42:07Z,2025-02-20T18:54:50Z,Kotlin,68,230,0,134,346
quill,44656,slab,2012-07-30T23:23:18Z,2025-02-20T20:32:03Z,JavaScript,64,379,95,444,3262
pandas,44637,pandas-dev,2010-08-24T01:37:33Z,2025-02-20T22:01:23Z,Python,86,26496,109,3618,23592
30-Days-Of-Python,44635,Asabeneh,2019-11-19T17:24:16Z,2025-02-20T20:46:08Z,Python,135,55,0,53,75
meteor,44567,meteor,2012-01-19T01:58:17Z,2025-02-20T02:53:12Z,HTML,84,2397,0,273,8879
pixijs,44556,pixijs,2013-01-21T22:40:50Z,2025-02-20T21:19:18Z,JavaScript,26,3569,283,373,5461
jest,44530,jestjs,2013-12-10T00:18:04Z,2025-02-20T17:51:11Z,JavaScript,66,5591,203,273,7717
json,44470,nlohmann,2013-07-04T08:47:49Z,2025-02-20T19:09:27Z,C++,58,806,44,49,2233
type-challenges,44424,type-challenges,2020-07-23T14:33:11Z,2025-02-20T21:20:44Z,TypeScript,35,574,0,31339,3641
AdminLTE,44340,ColorlibHQ,2013-12-25T02:52:40Z,2025-02-20T20:00:03Z,JavaScript,19,1539,75,129,2734
terraform,44207,hashicorp,2014-03-13T22:25:48Z,2025-02-20T19:02:44Z,Makefile,175,12203,348,1810,19445
Deep-Live-Cam,44011,hacksider,2023-09-24T13:19:31Z,2025-02-20T21:17:25Z,Python,0,69,4,11,629
open-source-ios-apps,43982,dkhamsing,2015-01-26T23:32:34Z,2025-02-20T22:42:29Z,Unknown,1,1249,37,0,300
30-Days-Of-JavaScript,43974,Asabeneh,2019-12-23T14:07:40Z,2025-02-20T22:13:51Z,JavaScript,245,98,0,109,59
PythonDataScienceHandbook,43907,jakevdp,2016-08-10T14:24:36Z,2025-02-20T19:48:01Z,Jupyter Notebook,95,28,0,121,78
fuels-ts,43900,FuelLabs,2021-09-03T18:11:03Z,2025-02-20T19:34:03Z,TypeScript,16,1855,143,85,1315
fuels-rs,43892,FuelLabs,2021-10-31T22:33:54Z,2025-02-20T19:34:02Z,Rust,9,858,110,85,548
query,43873,TanStack,2019-09-10T19:23:58Z,2025-02-20T22:33:03Z,JavaScript,41,2450,1000,48,1979
pocketbase,43847,pocketbase,2022-07-05T06:06:21Z,2025-02-20T22:03:02Z,Go,0,49,193,20,1695
hyper,43723,vercel,2016-07-01T06:01:21Z,2025-02-20T19:13:04Z,JavaScript,77,3291,88,918,2868
parcel,43664,parcel-bundler,2017-08-07T16:36:47Z,2025-02-20T18:12:45Z,JavaScript,103,2577,39,516,4901
htmx,43632,bigskysoftware,2020-04-13T16:17:51Z,2025-02-20T22:34:48Z,HTML,49,871,24,553,930
zx,43608,google,2021-05-05T05:50:01Z,2025-02-20T21:24:10Z,JavaScript,0,370,79,12,453
awesome-react-components,43592,brillout,2016-06-24T15:19:33Z,2025-02-20T22:42:33Z,Unknown,12,324,0,7,44
TensorFlow-Examples,43533,aymericdamien,2015-11-11T14:21:19Z,2025-02-20T19:30:33Z,Python,58,88,0,166,70
build-web-application-with-golang,43436,astaxie,2012-08-02T11:49:35Z,2025-02-20T17:32:20Z,Go,13,757,0,121,182
babel,43422,babel,2014-09-28T13:38:23Z,2025-02-20T21:13:15Z,JavaScript,161,6058,426,632,8287
Fooocus,43326,lllyasviel,2023-08-09T18:43:40Z,2025-02-20T22:34:03Z,Python,54,447,21,199,1366
retrofit,43321,square,2010-09-06T21:39:43Z,2025-02-20T16:19:47Z,Java,34,1048,2,123,2608
CppCoreGuidelines,43293,isocpp,2015-08-19T20:22:52Z,2025-02-20T21:02:10Z,Makefile,8,807,4,244,951
discourse,43272,discourse,2013-01-12T00:25:55Z,2025-02-20T22:31:57Z,Ruby,98,27401,0,0,0
frontend-dev-bookmarks,43242,dypsilon,2013-06-22T13:23:55Z,2025-02-20T22:20:14Z,Unknown,99,129,1,25,82
jadx,42888,skylot,2013-03-18T17:08:21Z,2025-02-20T22:21:34Z,Java,3,524,30,408,1388
open-source-mac-os-apps,42829,serhii-londar,2017-11-03T02:35:33Z,2025-02-20T22:42:34Z,Unknown,63,523,0,48,158
awesome-java,42817,akullpp,2014-07-09T10:12:43Z,2025-02-20T20:04:05Z,Unknown,10,691,0,2,133
text-generation-webui,42577,oobabooga,2022-12-21T04:17:37Z,2025-02-20T20:04:53Z,Python,4,1076,58,210,3587
brew,42575,Homebrew,2016-03-06T05:08:38Z,2025-02-20T22:15:15Z,Shell,20,12078,411,73,4551
react-use,42538,streamich,2018-10-27T10:16:05Z,2025-02-20T21:54:23Z,JavaScript,269,1520,256,343,244
grpc,42474,grpc,2014-12-08T18:58:53Z,2025-02-20T22:27:41Z,C++,355,19587,337,675,10922
react-hook-form,42466,react-hook-form,2019-03-05T23:47:10Z,2025-02-20T16:49:17Z,TypeScript,43,1993,563,38,4604
kubernetes-the-hard-way,42386,kelseyhightower,2016-07-07T14:15:27Z,2025-02-20T22:37:28Z,Unknown,127,71,0,121,300
front-end-interview-handbook,42372,yangshun,2018-01-13T19:40:08Z,2025-02-20T21:46:14Z,JavaScript,1,310,0,13,87
lx-music-desktop,42370,lyswhut,2019-08-14T14:31:08Z,2025-02-20T18:18:57Z,JavaScript,10,76,109,809,1183
Leaflet,42091,Leaflet,2010-09-22T16:57:44Z,2025-02-20T21:12:32Z,JavaScript,166,2998,31,414,4804
lazydocker,42036,jesseduffield,2019-05-18T08:53:50Z,2025-02-20T22:35:10Z,Dockerfile,34,186,42,157,185
git-flight-rules,42009,k88hudson,2014-07-22T20:35:09Z,2025-02-20T17:50:02Z,Unknown,0,224,0,18,55
Rocket.Chat,41984,RocketChat,2015-05-19T07:36:09Z,2025-02-20T21:33:36Z,JavaScript,627,13565,1000,2522,13602
vaultwarden,41939,dani-garcia,2018-02-17T22:40:20Z,2025-02-20T22:30:48Z,Rust,9,913,69,10,2196
pm2,41931,Unitech,2013-05-21T03:25:25Z,2025-02-20T21:42:13Z,JavaScript,53,550,124,965,4072
dbeaver,41834,dbeaver,2015-10-21T08:26:28Z,2025-02-20T21:37:05Z,Batchfile,74,5522,218,2842,15604
awesome-cheatsheets,41669,LeCoupa,2017-11-09T02:47:15Z,2025-02-20T22:15:57Z,JavaScript,85,169,0,35,57
Alamofire,41655,Alamofire,2014-07-31T05:56:19Z,2025-02-20T20:05:43Z,Swift,6,650,102,37,2743
edex-ui,41610,GitSquared,2017-01-28T09:35:02Z,2025-02-20T21:21:43Z,JavaScript,0,399,29,6,553
JeecgBoot,41583,jeecgboot,2018-11-26T10:40:00Z,2025-02-20T18:33:38Z,Java,12,88,53,46,6744
yarn,41494,yarnpkg,2016-01-19T17:39:16Z,2025-02-20T20:30:13Z,JavaScript,203,1654,152,1867,4730
monaco-editor,41487,microsoft,2016-06-07T16:56:31Z,2025-02-20T17:13:45Z,JavaScript,45,463,91,616,3134
awesome-design-patterns,41328,DovAmir,2018-06-04T17:47:48Z,2025-02-20T20:35:15Z,Unknown,10,31,0,10,5
acme.sh,41226,acmesh-official,2015-12-26T12:56:33Z,2025-02-20T16:31:26Z,Shell,218,1373,44,1012,2170
prisma,41222,prisma,2019-06-20T13:33:47Z,2025-02-20T21:42:53Z,TypeScript,23,5736,209,2207,8673
LLaMA-Factory,41175,hiyouga,2023-05-28T10:09:12Z,2025-02-20T22:28:28Z,Python,18,395,32,288,5679
FreeDomain,41106,DigitalPlatDev,2024-05-30T13:23:00Z,2025-02-20T14:17:57Z,HTML,0,0,0,0,0
reactjs-interview-questions,41062,sudheerj,2018-05-31T17:17:01Z,2025-02-20T19:11:36Z,HTML,5,157,0,6,101
vue2-elm,41044,bailicangdu,2016-12-23T01:49:20Z,2025-02-20T12:05:53Z,JavaScript,1,21,0,116,512
ChatGLM-6B,41024,THUDM,2023-03-13T12:00:18Z,2025-02-20T16:10:05Z,Python,41,49,0,556,749
what-happens-when,40962,alex,2013-11-07T04:30:06Z,2025-02-20T20:46:36Z,Unknown,1851,108,0,237,53
python-patterns,40956,faif,2012-06-06T21:02:35Z,2025-02-20T22:39:13Z,Python,4,265,0,11,78
metabase,40900,metabase,2015-02-02T19:25:47Z,2025-02-20T22:13:28Z,JavaScript,243,28116,618,3837,17819
GPT-SoVITS,40877,RVC-Boss,2024-01-14T18:05:21Z,2025-02-20T22:34:58Z,Python,61,279,1,705,808
pyenv,40815,pyenv,2012-08-31T06:57:52Z,2025-02-20T20:23:36Z,Makefile,9,936,120,64,1747
dubbo,40739,apache,2012-06-19T07:56:02Z,2025-02-20T14:55:00Z,Java,98,5582,107,794,6338
odoo,40720,odoo,2014-05-13T15:38:58Z,2025-02-20T22:05:38Z,Python,4412,6179,0,3027,15010
styled-components,40676,styled-components,2016-08-16T06:41:32Z,2025-02-20T16:18:59Z,JavaScript,27,953,172,285,2639
spark,40571,apache,2014-02-25T08:00:08Z,2025-02-20T22:12:29Z,Scala,204,7,0,0,0
uv,40564,astral-sh,2023-10-02T20:24:11Z,2025-02-20T22:37:29Z,Rust,118,5763,157,1210,4103
swiper,40545,nolimits4web,2012-03-14T19:11:45Z,2025-02-20T19:57:07Z,HTML,12,592,81,169,5479
nw.js,40492,nwjs,2012-01-04T06:21:10Z,2025-02-20T21:53:04Z,C++,9,575,0,929,6430
uni-app,40426,dcloudio,2018-07-12T08:52:39Z,2025-02-20T09:09:35Z,JavaScript,39,322,0,1053,3638
diagrams,40313,mingrammer,2020-02-02T15:23:24Z,2025-02-20T21:02:14Z,Shell,77,303,43,306,213
LLMs-from-scratch,40253,rasbt,2023-07-23T18:15:57Z,2025-02-20T22:26:42Z,Jupyter Notebook,0,279,0,0,120
vuetify,40234,vuetifyjs,2016-09-12T00:39:35Z,2025-02-20T15:06:14Z,JavaScript,139,4066,577,523,13944
CPlusPlusThings,40222,Light-City,2019-07-14T08:45:45Z,2025-02-20T16:14:19Z,C++,3,72,0,8,218
kong,40179,Kong,2014-11-17T23:56:08Z,2025-02-20T22:33:46Z,Shell,81,6379,144,55,4420
stablediffusion,40146,Stability-AI,2022-11-23T23:59:50Z,2025-02-20T17:27:15Z,Python,52,18,0,242,76
ailearning,40139,apachecn,2017-02-25T08:53:02Z,2025-02-20T13:05:16Z,Python,0,478,2,2,126
maybe,40113,maybe-finance,2024-01-01T22:23:46Z,2025-02-20T22:34:27Z,Dockerfile,7,846,23,44,510
ColossalAI,40072,hpcaitech,2021-10-28T16:19:44Z,2025-02-20T22:31:27Z,Python,42,3618,48,407,1278
sentry,40063,getsentry,2010-08-30T22:06:41Z,2025-02-20T22:18:14Z,Python,239,62602,145,2095,12502
hexo,39995,hexojs,2012-09-23T15:17:08Z,2025-02-20T22:06:23Z,JavaScript,17,932,114,79,3886
fastlane,39905,fastlane,2014-12-02T17:00:38Z,2025-02-20T18:21:08Z,Ruby,212,6212,548,612,12472
autogen,39852,microsoft,2023-08-18T11:43:45Z,2025-02-20T22:38:33Z,JavaScript,45,2062,75,513,1954
black,39614,psf,2018-03-14T19:54:45Z,2025-02-20T22:44:26Z,Python,30,1535,46,343,2325
nvm-windows,39565,coreybutler,2014-09-20T16:37:28Z,2025-02-20T22:00:20Z,Inno Setup,9,107,23,75,817
nanoGPT,39479,karpathy,2022-12-28T00:51:12Z,2025-02-20T21:27:32Z,Python,63,45,0,219,105
iina,39453,iina,2016-12-19T07:18:45Z,2025-02-20T12:40:10Z,Ruby,73,776,44,1726,2304
cobra,39424,spf13,2013-09-03T20:40:26Z,2025-02-20T22:20:55Z,Go,86,608,24,210,970
fanqiang,39208,bannedbook,2015-01-14T00:34:25Z,2025-02-20T18:22:49Z,Batchfile,0,3,3,321,458
termux-app,39102,termux,2015-10-23T09:42:46Z,2025-02-20T21:06:07Z,Java,50,160,91,357,2406
ClickHouse,39097,ClickHouse,2016-06-02T08:28:18Z,2025-02-20T22:39:24Z,CMake,437,44555,626,3802,18999
llama_index,39096,run-llama,2022-11-02T04:24:54Z,2025-02-20T21:54:25Z,Python,45,6080,360,654,5242
cheat.sh,38969,chubin,2017-05-07T21:40:56Z,2025-02-20T21:14:40Z,Python,15,124,0,120,131
tldraw,38928,tldraw,2021-05-09T11:48:37Z,2025-02-20T22:17:53Z,TypeScript,51,2828,59,270,1162
materialize,38869,Dogfalo,2014-09-12T19:35:38Z,2025-02-20T20:46:16Z,CSS,169,449,41,624,4599
airflow,38868,apache,2015-04-13T18:04:58Z,2025-02-20T22:19:33Z,Python,153,24552,93,1113,9637
Deep-Learning-Papers-Reading-Roadmap,38774,floodsung,2016-10-14T11:49:48Z,2025-02-20T19:39:40Z,Python,39,28,0,50,5
tabler,38752,tabler,2018-02-01T09:08:59Z,2025-02-20T17:57:25Z,HTML,16,592,47,36,923
php-src,38689,php,2011-06-16T01:52:25Z,2025-02-20T22:00:01Z,JavaScript,577,3714,7,773,3046
bert,38673,google-research,2018-10-25T22:57:34Z,2025-02-20T20:31:24Z,Python,97,32,0,790,354
vllm,38667,vllm-project,2023-02-09T11:23:20Z,2025-02-20T22:20:51Z,Python,445,4631,50,1288,5338
esbuild,38582,evanw,2016-06-14T16:08:50Z,2025-02-20T22:00:52Z,Makefile,42,235,292,482,3130
v2rayNG,38576,2dust,2019-05-15T02:15:31Z,2025-02-20T19:05:39Z,Kotlin,1,406,226,12,3127
chinese-independent-developer,38576,1c7,2017-09-21T11:08:23Z,2025-02-20T18:40:02Z,Unknown,0,267,0,1,161
chakra-ui,38549,chakra-ui,2019-08-17T14:27:54Z,2025-02-20T21:50:00Z,JavaScript,7,2653,1000,5,3966
video.js,38437,videojs,2010-05-14T18:45:10Z,2025-02-20T19:25:52Z,JavaScript,24,1793,328,539,4792
wrk,38432,wg,2012-03-20T11:12:28Z,2025-02-20T21:06:15Z,Makefile,56,0,0,143,262
cli,38326,cli,2019-10-03T15:24:53Z,2025-02-20T22:05:34Z,Go,24,2383,156,711,3923
