api,complexity,execution,time_ms,size_bytes,timestamp
GraphQL,simple,15,1.84,94,2025-06-08T12:07:30.826274
GraphQL,simple,16,1.81,94,2025-06-08T12:07:30.828092
GraphQL,simple,17,1.67,94,2025-06-08T12:07:30.829770
GraphQL,simple,18,1.69,94,2025-06-08T12:07:30.831471
GraphQL,simple,19,1.96,94,2025-06-08T12:07:30.833435
GraphQL,simple,20,1.86,94,2025-06-08T12:07:30.835301
GraphQL,simple,21,1.83,94,2025-06-08T12:07:30.837145
GraphQL,simple,22,1.79,94,2025-06-08T12:07:30.838946
GraphQL,simple,23,1.97,94,2025-06-08T12:07:30.840926
GraphQL,simple,24,1.74,94,2025-06-08T12:07:30.842671
GraphQL,simple,25,1.76,94,2025-06-08T12:07:30.844442
GraphQL,simple,26,1.81,94,2025-06-08T12:07:30.846264
GraphQL,simple,27,1.83,94,2025-06-08T12:07:30.848105
GraphQL,simple,28,1.95,94,2025-06-08T12:07:30.850063
GraphQL,simple,29,1.89,94,2025-06-08T12:07:30.851961
GraphQL,simple,30,1.95,94,2025-06-08T12:07:30.853923
GraphQL,medium,1,1.95,172,2025-06-08T12:07:30.855879
GraphQL,medium,2,1.86,172,2025-06-08T12:07:30.857753
GraphQL,medium,3,2.02,172,2025-06-08T12:07:30.859781
GraphQL,medium,4,1.91,172,2025-06-08T12:07:30.861700
GraphQL,medium,5,1.94,172,2025-06-08T12:07:30.863646
GraphQL,medium,6,1.92,172,2025-06-08T12:07:30.865575
GraphQL,medium,7,2.01,172,2025-06-08T12:07:30.867590
GraphQL,medium,8,1.9,172,2025-06-08T12:07:30.869495
GraphQL,medium,9,2.01,172,2025-06-08T12:07:30.871519
GraphQL,medium,10,1.98,172,2025-06-08T12:07:30.873504
GraphQL,medium,11,1.93,172,2025-06-08T12:07:30.875441
GraphQL,medium,12,1.9,172,2025-06-08T12:07:30.877354
GraphQL,medium,13,2.02,172,2025-06-08T12:07:30.879378
GraphQL,medium,14,1.87,172,2025-06-08T12:07:30.881253
GraphQL,medium,15,1.94,172,2025-06-08T12:07:30.883198
GraphQL,medium,16,1.94,172,2025-06-08T12:07:30.885152
GraphQL,medium,17,1.87,172,2025-06-08T12:07:30.887036
GraphQL,medium,18,1.91,172,2025-06-08T12:07:30.888955
GraphQL,medium,19,2.11,172,2025-06-08T12:07:30.891070
GraphQL,medium,20,1.79,172,2025-06-08T12:07:30.892867
GraphQL,medium,21,2.03,172,2025-06-08T12:07:30.894907
GraphQL,medium,22,2.15,172,2025-06-08T12:07:30.897074
GraphQL,medium,23,2.07,172,2025-06-08T12:07:30.899156
GraphQL,medium,24,1.85,172,2025-06-08T12:07:30.901013
GraphQL,medium,25,1.97,172,2025-06-08T12:07:30.902997
GraphQL,medium,26,2.12,172,2025-06-08T12:07:30.905127
GraphQL,medium,27,2.0,172,2025-06-08T12:07:30.907133
GraphQL,medium,28,2.01,172,2025-06-08T12:07:30.909154
GraphQL,medium,29,2.11,172,2025-06-08T12:07:30.911276
GraphQL,medium,30,1.89,172,2025-06-08T12:07:30.913176
GraphQL,complex,1,2.29,391,2025-06-08T12:07:30.915480
GraphQL,complex,2,2.37,391,2025-06-08T12:07:30.917856
GraphQL,complex,3,2.57,391,2025-06-08T12:07:30.920433
GraphQL,complex,4,2.54,391,2025-06-08T12:07:30.922979
GraphQL,complex,5,2.29,391,2025-06-08T12:07:30.925278
GraphQL,complex,6,2.62,391,2025-06-08T12:07:30.927910
GraphQL,complex,7,2.72,391,2025-06-08T12:07:30.930640
GraphQL,complex,8,3.51,391,2025-06-08T12:07:30.934169
GraphQL,complex,9,2.58,391,2025-06-08T12:07:30.936757
GraphQL,complex,10,2.28,391,2025-06-08T12:07:30.939045
GraphQL,complex,11,2.26,391,2025-06-08T12:07:30.941313
GraphQL,complex,12,3.41,391,2025-06-08T12:07:30.944735
GraphQL,complex,13,2.8,391,2025-06-08T12:07:30.947551
GraphQL,complex,14,3.06,391,2025-06-08T12:07:30.950635
GraphQL,complex,15,2.8,391,2025-06-08T12:07:30.953449
GraphQL,complex,16,2.77,391,2025-06-08T12:07:30.956231
GraphQL,complex,17,2.28,391,2025-06-08T12:07:30.958515
GraphQL,complex,18,2.33,391,2025-06-08T12:07:30.960855
GraphQL,complex,19,2.42,391,2025-06-08T12:07:30.963287
GraphQL,complex,20,2.41,391,2025-06-08T12:07:30.965707
GraphQL,complex,21,3.07,391,2025-06-08T12:07:30.968788
GraphQL,complex,22,2.79,391,2025-06-08T12:07:30.971593
GraphQL,complex,23,2.66,391,2025-06-08T12:07:30.974261
GraphQL,complex,24,3.11,391,2025-06-08T12:07:30.977389
GraphQL,complex,25,2.82,391,2025-06-08T12:07:30.980226
GraphQL,complex,26,2.93,391,2025-06-08T12:07:30.983164
GraphQL,complex,27,2.72,391,2025-06-08T12:07:30.985894
GraphQL,complex,28,2.83,391,2025-06-08T12:07:30.988738
GraphQL,complex,29,2.84,391,2025-06-08T12:07:30.991592
GraphQL,complex,30,2.66,391,2025-06-08T12:07:30.994265
